[17308:11216:0219/112849.654:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[17308:11216:0219/112849.695:ERROR:os_crypt_win.cc(100)] Failed to decrypt: Key not valid for use in specified state. (0x8009000B)
[17308:7028:0219/112849.712:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[17308:11216:0219/112849.738:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[16328:18144:0219/112853.115:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-681702D53FAADED4D70D391FA90FF609 will be ignored
[17308:6960:0219/112857.195:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[17308:6960:0219/112901.119:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[17308:6960:0219/113508.116:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=72})
[17308:6960:0219/113509.114:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=74})
[17308:6960:0219/113510.116:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=76})
[17308:6960:0219/113511.116:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=77})
[17308:6960:0219/113512.116:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=75})
[17308:11216:0219/113512.636:VERBOSE1:device_event_log_impl.cc(198)] [11:35:12.636] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[17308:11216:0219/113512.636:VERBOSE1:device_event_log_impl.cc(198)] [11:35:12.636] Display: EVENT: screen_win.cc:895 Display[1060798626] bounds=[0,0 2048x1152], workarea=[0,0 2048x1104], scale=1.25, rotation=0, panel_rotation=0 external detected
[17308:6960:0219/113512.968:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=74})
[17308:6960:0219/113514.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=73})
[17308:6960:0219/113514.967:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=75})
[17308:6960:0219/113515.964:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=77})
[17308:6960:0219/113516.965:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=76})
[17308:6960:0219/113518.969:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=75})
[17308:6960:0219/113519.966:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=74})
[17308:6960:0219/113522.975:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=76})
[17308:6960:0219/113524.977:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=77})
[17308:6960:0219/113528.982:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=75})
[17308:6960:0219/113529.979:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=74})
[17308:6960:0219/113530.978:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=73})
[17308:6960:0219/113531.986:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=71})
[17308:6960:0219/113533.004:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=69})
[17308:6960:0219/113533.998:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=68})
[17308:6960:0219/113534.987:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=66})
[17308:6960:0219/113536.240:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=100})
[17308:11216:0219/113542.799:VERBOSE1:device_event_log_impl.cc(198)] [11:35:42.800] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[17308:11216:0219/113542.799:VERBOSE1:device_event_log_impl.cc(198)] [11:35:42.800] Display: EVENT: screen_win.cc:895 Display[1060798626] bounds=[0,0 2048x1152], workarea=[0,0 2048x1104], scale=1.25, rotation=0, panel_rotation=0 external detected
[17308:6960:0219/113545.996:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=73})
[17308:6960:0219/113546.990:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=71})
[17308:6960:0219/113547.989:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=70})
[17308:6960:0219/113548.994:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=68})
[17308:6960:0219/113549.994:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=67})
[17308:6960:0219/113550.998:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=66})
[17308:6960:0219/113552.996:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=67})
[17308:6960:0219/113555.998:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=68})
[17308:6960:0219/113556.997:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=69})
[17308:6960:0219/113558.003:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=70})
[17308:6960:0219/113600.001:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=71})
[17308:6960:0219/113600.999:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=72})
[17308:6960:0219/113606.000:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=74})
[17308:6960:0219/113608.050:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=100})
[17308:6960:0219/113620.009:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=72})
[17308:6960:0219/113622.013:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=73})
[17308:6960:0219/113623.028:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=72})
[17308:6960:0219/113624.014:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=73})
[17308:6960:0219/113625.185:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=75})
[17308:6960:0219/113628.185:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=78})
[17308:6960:0219/113629.184:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=81})
[17308:6960:0219/113630.186:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=100})
[17308:11216:0219/113632.364:VERBOSE1:device_event_log_impl.cc(198)] [11:36:32.364] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[17308:11216:0219/113632.364:VERBOSE1:device_event_log_impl.cc(198)] [11:36:32.364] Display: EVENT: screen_win.cc:895 Display[1060798626] bounds=[0,0 2048x1152], workarea=[0,0 2048x1104], scale=1.25, rotation=0, panel_rotation=0 external detected
[17308:6960:0219/113640.027:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=71})
[17308:6960:0219/113642.028:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=70})
[17308:6960:0219/113643.023:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=71})
[17308:6960:0219/113645.028:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=69})
[17308:6960:0219/113647.320:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=71})
[17308:6960:0219/113649.321:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=74})
[17308:6960:0219/113650.321:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=76})
[17308:6960:0219/113651.322:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=78})
[17308:6960:0219/113653.323:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=79})
[17308:6960:0219/113654.323:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=80})
[17308:6960:0219/113655.324:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=82})
[17308:6960:0219/113656.324:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=83})
[17308:11216:0219/113657.169:VERBOSE1:device_event_log_impl.cc(198)] [11:36:57.169] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[17308:11216:0219/113657.169:VERBOSE1:device_event_log_impl.cc(198)] [11:36:57.169] Display: EVENT: screen_win.cc:895 Display[1060798626] bounds=[0,0 2048x1152], workarea=[0,0 2048x1104], scale=1.25, rotation=0, panel_rotation=0 external detected
[17308:6960:0219/113658.037:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=81})
[17308:6960:0219/113659.037:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=79})
[17308:6960:0219/113700.039:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=76})
[17308:6960:0219/113701.034:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=74})
[17308:6960:0219/113702.040:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=72})
[17308:6960:0219/113705.204:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=73})
[17308:6960:0219/113706.202:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=72})
[17308:6960:0219/113707.204:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=73})
[17308:6960:0219/113708.204:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=75})
[17308:6960:0219/113709.202:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=78})
[17308:6960:0219/113710.203:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=80})
[17308:6960:0219/113711.203:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=82})
[17308:6960:0219/113712.201:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=100})
[17308:11216:0219/113712.559:VERBOSE1:device_event_log_impl.cc(198)] [11:37:12.559] Display: EVENT: screen_win.cc:893 Displays updated, count: 1
[17308:11216:0219/113712.559:VERBOSE1:device_event_log_impl.cc(198)] [11:37:12.559] Display: EVENT: screen_win.cc:895 Display[1060798626] bounds=[0,0 2048x1152], workarea=[0,0 2048x1104], scale=1.25, rotation=0, panel_rotation=0 external detected
[6636:8076:0219/113715.784:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[6636:8076:0219/113715.790:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[6636:8076:0219/113715.790:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[6636:8076:0219/113715.813:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[6636:8076:0219/113715.813:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[6636:8076:0219/113715.813:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[17308:6960:0219/113722.053:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=65})
[17308:6960:0219/113723.057:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=63})
[17308:6960:0219/113725.055:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=64})
[17308:6960:0219/113727.057:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=62})
[17308:6960:0219/113728.062:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=63})
[17308:6960:0219/113729.056:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=62})
[17308:6960:0219/113732.067:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=64})
[17308:6960:0219/113733.068:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=65})
[17308:6960:0219/113734.068:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=68})
[17308:6960:0219/113735.067:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=70})
[17308:6960:0219/113736.068:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=72})
[17308:6960:0219/113737.067:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=75})
[17308:6960:0219/113738.068:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=76})
[17308:6960:0219/113739.069:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=79})
[17308:6960:0219/113740.068:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=81})
[17308:6960:0219/113741.069:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000014C0015AD40}, {new_limit=83})
